asin	product_title	product_price	unit_price	unit_count	product_original_price	currency	product_star_rating	product_num_ratings	product_url	product_photo	product_num_offers	product_minimum_offer_price	is_best_seller	is_amazon_choice	is_prime	climate_pledge_friendly	sales_volume	delivery	has_variations	product_badge	product_byline	coupon_text
B0DHYPDL36	Bionatural Prime - Salmão Gatos Adultos 20k	R$ 309,9				BRL	5	3	https://www.amazon.com.br/dp/B0DHYPDL36	https://m.media-amazon.com/images/I/51TQSMKbOnL._AC_UL960_FMwebp_QL65_.jpg	3	R$ 309,9	False	False	False	False			False			
B0CBQ7GF2S	Extrato K-Renale 120ML	R$ 299,0	R$ 299,0	1.0		BRL	4.8	10	https://www.amazon.com.br/dp/B0CBQ7GF2S	https://m.media-amazon.com/images/I/41yH29volsL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 299,0	False	False	False	False		Entrega GRÁTIS: qui., 24 de jul	False			
B0BM82CPC5	HERCOSUL Ração Biofresh Gatos Adulto Frango - 7 5	R$ 283,3	R$ 37,7	8.0		BRL	4.6	91	https://www.amazon.com.br/dp/B0BM82CPC5	https://m.media-amazon.com/images/I/51OWB7MJp9L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 283,3	False	False	False	False	Mais de 100 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B0CRCKBT1W	Casa Casinha De Cachorro com Telhado Ecológico Grande N5 (Amarela	R$ 281,6	R$ 281,6	1.0		BRL	4.5	27	https://www.amazon.com.br/dp/B0CRCKBT1W	https://m.media-amazon.com/images/I/51dAssbD8uL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 281,6	False	False	False	True		Entrega GRÁTIS: qui., 31 de jul	False			
B0DKSWZM5G	85cm x 150cm Grade para Cachorros, Tela Proteção Pet, Grade Tela de Proteção, Portao Pet, Portão pet, Escada Segurança para Pet, Rollin	R$ 274,9				BRL	4.4	16	https://www.amazon.com.br/dp/B0DKSWZM5G	https://m.media-amazon.com/images/I/51vbJao5jZL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 274,9	False	False	False	False	Mais de 30 compras no mês passad	Entrega GRÁTIS: sex., 18 de jul	False			
B0DHYMLLZS	Bionatural Prime - Frango Cães De Raças Méd/Grand Adultos 2	R$ 271,9				BRL	5	2	https://www.amazon.com.br/dp/B0DHYMLLZS	https://m.media-amazon.com/images/I/41Qkcg5ewdL._AC_UL960_FMwebp_QL65_.jpg	4	R$ 271,9	False	False	False	False			False			
B0FG9K5J8X	Cama Pet Impermeável e Lavável para Cachorros, Petgram - com Tratamento Antimicrobiano (G (70cm x 62cm), Verde Musg	R$ 269,0	R$ 269,0	1.0		BRL	4.5	96	https://www.amazon.com.br/dp/B0FG9K5J8X	https://m.media-amazon.com/images/I/61TcoDRZ4EL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 269,0	False	False	False	True		Entrega GRÁTIS: qui., 31 de jul	False			
B07YP2NYL6	Veterinary Urinary Equilíbrio 7,5k	R$ 263,9	R$ 263,9	1.0		BRL	4.7	93	https://www.amazon.com.br/dp/B07YP2NYL6	https://m.media-amazon.com/images/I/51-Qm1Bc6zL._AC_UL960_FMwebp_QL65_.jpg	15	R$ 218,1	False	False	False	False	Mais de 50 compras no mês passad	Entrega GRÁTIS: sex., 18 de jul	False			
B0DS2JBX23	Casa de Gato, Cama de Gato, Casinha para Gatos, Cama para Gatos com 3 Andares Dobrável, 40 * 40 * 62cm, Toca para Gatos, Dobrável e Fácil de Guar	R$ 259,9	R$ 259,9	1.0		BRL	5	2	https://www.amazon.com.br/dp/B0DS2JBX23	https://m.media-amazon.com/images/I/61IlccAAHUL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 259,9	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: qui., 31 de jul	False			
B0FGY1LVFK	3m Portão Grade Retrátil de Proteção para Bebês e Cachorros, Portaozinho de Escada Instalação Sem Furos, Trava Dupla,Operação com uma mão,Portao Segurança Bebê Pet, Cercado pa	R$ 259,0				BRL		0	https://www.amazon.com.br/dp/B0FGY1LVFK	https://m.media-amazon.com/images/I/816mAYjmrdL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 259,0	False	False	False	False		Entrega GRÁTIS: ter., 29 de jul	False			
B0FGY1LVFK	3m Portão Grade Retrátil de Proteção para Bebês e Cachorros, Portaozinho de Escada Instalação Sem Furos, Trava Dupla,Operação com uma mão,Portao Segurança Bebê Pet, Cercado pa	R$ 259,0				BRL		0	https://www.amazon.com.br/dp/B0FGY1LVFK	https://m.media-amazon.com/images/I/816mAYjmrdL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 259,0	False	False	False	False		Entrega GRÁTIS: ter., 29 de jul	False			
B0DHF1GS33	Cama Sofá Pet Grande 120x80x17cm Lavável e Resistente - Escolha a Cor - Pet Querido (Marro	R$ 254,9	R$ 254,9	1.0		BRL	4.5	10	https://www.amazon.com.br/dp/B0DHF1GS33	https://m.media-amazon.com/images/I/51RjBqo5HzL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 254,9	False	False	False	False		Entrega GRÁTIS: sex., 18 de jul	False			
B0DQPZV7C7	Alimentador Pet Gato Cão Automático WiFi Smart Dispensador de Ração Automático,Comedouro para Caes	R$ 254,1	R$ 0,2	1210.0	R$ 299,0	BRL	3	10	https://www.amazon.com.br/dp/B0DQPZV7C7	https://m.media-amazon.com/images/I/61PP3KTg7YL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 254,1	False	False	True	False			False	Com Prime		
B0DGTSFP5Q	Alimentador Automático Pet, 4L Comedouro para Caes Fácil Comedouro Elevado para Caes, Controle de Aplicativo WiFi - Gravador de V	R$ 253,3	R$ 0,2	1206.0	R$ 298,0	BRL	4.5	160	https://www.amazon.com.br/dp/B0DGTSFP5Q	https://m.media-amazon.com/images/I/51ansqiUO5L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 253,3	False	False	True	False	Mais de 50 compras no mês passad		False	Com Prime		
B0CWZ9KXJX	Ração Cuidado Digestivo Para Gatos Adultos 3kg Royal Can	R$ 246,9	R$ 246,9	1.0	R$ 268,5	BRL	5	6	https://www.amazon.com.br/dp/B0CWZ9KXJX	https://m.media-amazon.com/images/I/41emsY-Q2VL._AC_UL924_FMwebp_QL65_.jpg	8	R$ 245,9	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False			
B07Y5KH4PV	Guabi Natural Ração Gato Adulto Castrado Frango E Arroz Integral 7 5	R$ 243,9	R$ 32,5	7.0		BRL	4.6	131	https://www.amazon.com.br/dp/B07Y5KH4PV	https://m.media-amazon.com/images/I/61GzzPuhn6L._AC_UL960_FMwebp_QL65_.jpg	5	R$ 229,9	False	False	False	False	Mais de 40 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False			
B0BYQF6LZK	Nattu Gatos Adultos Castrados Abóbora 7,5Kg Ração Alime	R$ 241,8	R$ 241,8	1.0		BRL	4.5	18	https://www.amazon.com.br/dp/B0BYQF6LZK	https://m.media-amazon.com/images/I/71UwL4eQPqL._AC_UL960_FMwebp_QL65_.jpg	6	R$ 212,0	False	False	False	False	Mais de 30 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B0F1D41M7S	alta densidade para cães, degraus antiderrapantes para animais de estimação para cães mais velhos, escada de sofá-cama para gatos (Cinza - 3 camadas, 	R$ 239,9	R$ 239,9	1.0		BRL	3.8	11	https://www.amazon.com.br/dp/B0F1D41M7S	https://m.media-amazon.com/images/I/7108by9omqL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 239,9	False	False	False	False		Entrega GRÁTIS: sex., 18 de jul	False			
B07YP2NYP1	Veterinary Hepatic Equilíbrio 7,5k	R$ 238,0	R$ 238,0	1.0		BRL	4.7	80	https://www.amazon.com.br/dp/B07YP2NYP1	https://m.media-amazon.com/images/I/51Qvlg5z58L._AC_UL960_FMwebp_QL65_.jpg	8	R$ 231,2	False	False	False	False	Mais de 50 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B0DBLLK5NV	Alimentador Automático Cães Gatos Pets,4L Tuya APP Alimentador Pet Gato Cão Automático Wi-fi Smart Programável 1-4 Refeições 	R$ 236,3	R$ 59,0	4.0	R$ 299,0	BRL	4.6	126	https://www.amazon.com.br/dp/B0DBLLK5NV	https://m.media-amazon.com/images/I/61Cgt-31EVL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 236,3	False	False	True	False	Mais de 100 compras no mês passad		False	Com Prime		
B0DQL8RTHX	2L Mini Comedouro Automático para Gatos, Aplicativo Inteligente TUYA WIFI Dispenser Comida Pet Automatico, Potes e Tigelas para Cã	R$ 236,3	R$ 0,2	1182.0	R$ 289,0	BRL	5	1	https://www.amazon.com.br/dp/B0DQL8RTHX	https://m.media-amazon.com/images/I/61l+1x8QTkL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 236,3	False	False	True	False			False	Com Prime		
