asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_byline,coupon_text,unit_price,unit_count,product_badge
B09DZ7V52C,Fisiogel Ai Balsamo Lipidico Restaurador 150G,"R$ 114,99",,BRL,4.5,124,https://www.amazon.com.br/dp/B09DZ7V52C,https://m.media-amazon.com/images/I/512yz-pXA3L._AC_UL960_FMwebp_QL65_.jpg,7,"R$ 105,87",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 6 de ago.",False,,,"R$ 114,99",1.0,
B0D4G4JGCC,Kit Braé Blond Repair Duo 250ml + Máscara 200g + Mini Essential 60ml,"R$ 188,00",,BRL,4.2,80,https://www.amazon.com.br/dp/B0D4G4JGCC,https://m.media-amazon.com/images/I/51Aog94DmjL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 188,00",False,False,False,False,Mais de 40 compras no mês passado,"Entrega GRÁTIS: seg., 21 de jul.",False,,,"R$ 47,00",4.0,
B0B3S6FNMP,Natura Kaiak Clássico Desodorente Colônia Masculino 100ml,"R$ 109,90",,BRL,4.7,340,https://www.amazon.com.br/dp/B0B3S6FNMP,https://m.media-amazon.com/images/I/51sUHxUvC0L._AC_UL960_FMwebp_QL65_.jpg,46,"R$ 75,00",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,Aromático Aquoso Moderado,,"R$ 109,90",1.0,
B01MQWRLC5,"Care Absolute Volume Thermal Protetor, 200 ml, Keune","R$ 172,90",,BRL,4.1,104,https://www.amazon.com.br/dp/B01MQWRLC5,https://m.media-amazon.com/images/I/51UNupRvYwL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 172,90",False,False,False,False,Mais de 20 compras no mês passado,"Entrega GRÁTIS: ter., 15 de jul.",False,,,,,
B0BSXS13KX,O BOTICÁRIO BOTICA 214 GOLDEN GARDÊNIA EUA DE PARFUM 75ml,"R$ 194,90","R$ 206,90",BRL,4.6,61,https://www.amazon.com.br/dp/B0BSXS13KX,https://m.media-amazon.com/images/I/41jAgYTW4XL._AC_UL960_FMwebp_QL65_.jpg,21,"R$ 189,90",False,False,False,False,Mais de 20 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,Gardênia,,"R$ 194,90",1.0,
B08PXFKVXJ,"Prancha Alisadora Titanium Pro, Mondial, P-28, Azul","R$ 202,98","R$ 214,99",BRL,4.6,76,https://www.amazon.com.br/dp/B08PXFKVXJ,https://m.media-amazon.com/images/I/41MbwEV4DYL._AC_UL960_FMwebp_QL65_.jpg,8,"R$ 189,50",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B01M27OFG0,"Concealer Circle, Kryolan","R$ 367,60",,BRL,4.5,104,https://www.amazon.com.br/dp/B01M27OFG0,https://m.media-amazon.com/images/I/61r3V6NZwnL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 367,60",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",True,,,,,
B0C2JHS29X,Fusion - Condicionador 200ml,"R$ 109,90",,BRL,4.8,11,https://www.amazon.com.br/dp/B0C2JHS29X,https://m.media-amazon.com/images/I/410bVqkQ5mL._AC_UL960_FMwebp_QL65_.jpg,17,"R$ 109,00",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,
B07WS2HX2H,Máquina De Cortar Cabelo Profissional Aparador Kemei Km-1995,"R$ 124,49",,BRL,4.5,594,https://www.amazon.com.br/dp/B07WS2HX2H,https://m.media-amazon.com/images/I/51ciDi7xvrL._AC_UL960_FMwebp_QL65_.jpg,14,"R$ 106,40",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: ter., 22 de jul.",False,,,,,
B0B4KGX7XV,BLUR C FPS 98 | PPD 34-18H DE PROTEÇÃO (natural),"R$ 215,91",,BRL,4.5,9,https://www.amazon.com.br/dp/B0B4KGX7XV,https://m.media-amazon.com/images/I/51tj7lof+0L._AC_UL960_FMwebp_QL65_.jpg,8,"R$ 214,00",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,"R$ 215,91",1.0,
B08129J1WH,Wella Professionals Eimi Thermal Image Proteção Térmica Spray 150ml,"R$ 139,99",,BRL,4.3,9,https://www.amazon.com.br/dp/B08129J1WH,https://m.media-amazon.com/images/I/312WtnLVQ2L._AC_UL960_FMwebp_QL65_.jpg,2,"R$ 117,99",False,False,False,False,,"Entrega GRÁTIS: ter., 22 de jul.",False,,,"R$ 139,99",1.0,
